index,r,l,t
643,-563.348474,17,75251.14767599106
644,-1383.199241,256,75387.8113899231
645,-6999.708474,1428,76035.29815006256
646,-3563.738157,1017,76516.04698896408
647,-536.423418,7,76529.0886619091
648,-747.234418,75,76576.30603790283
649,-540.584821,11,76591.36347198486
650,-1613.943575,437,76813.52629089355
651,-705.290128,78,76857.74849200249
652,-4385.215997,1298,77413.73939490318
653,-985.020926,249,77548.45115208626
654,-802.162454,121,77618.82132101059
655,-735.836824,95,77676.09364891052
656,357.143102,288,77815.87562799454
657,-968.387108,264,77919.70050406456
658,-7107.998853,1513,78611.19811606407
659,-756.250278,127,78684.57395100594
660,-562.369239,25,78706.66697096825
661,-709.905597,156,78786.10816001892
662,-557.961145,23,78807.19656896591
663,-2651.399693,718,79138.14665389061
664,-4804.024712,1044,79563.62382388115
665,-2078.163043,449,79757.74459695816
666,-602.25446,32,79776.84149599075
667,-613.908919,52,79807.99090909958
668,-541.269272,13,79824.04207801819
669,-578.492369,23,79843.12834191322
670,-524.945437,7,79856.18006896973
671,-649.506505,53,79892.33145999908
672,-4198.275144,1055,80395.06419992447
673,-765.07491,111,80460.36413097382
674,-759.773525,95,80517.6695048809
675,-519.341546,5,80538.72092199326
676,-561.282488,19,80557.7892010212
677,-528.816878,7,80570.83114790916
678,-530.830757,11,80585.90217709541
679,-541.77649,11,80600.95142793655
680,-522.988394,7,80623.0218911171
681,-717.56707,111,80688.33487391472
682,-526.945519,9,80702.38585209846
683,-602.118287,49,80736.53198599815
684,-317.745219,525,80974.82594394684
685,-1557.600816,869,81368.1035220623
686,-1890.135121,660,81636.80735492706
687,-545.086998,9,81650.85602903366
688,-578.838558,29,81675.10496401787
689,-570.122333,21,81695.31414699554
690,-520.115855,7,81717.44785094261
691,-538.885919,13,81733.6003229618
692,-13732.300054,2199,82742.6891400814
693,-1237.100755,267,82875.41299796104
694,-523.308845,7,82888.45001888275
695,-524.699732,7,82901.50124001503
696,-716.098331,83,82937.7154788971
697,-1824.690867,389,83089.76173400879
698,-533.329146,9,83104.6956000328
699,-813.914244,190,83200.22692298889
700,-1114.462856,305,83354.021723032
701,-596.326345,27,83377.10491299629
702,-523.42957,9,83391.15959405899
703,-535.922189,25,83413.24904894829
704,-616.580823,37,83441.38406705856
705,-543.336897,13,83455.43717288971
706,-577.35065,29,83479.54088711739
707,-1572.820235,344,83633.49221611023
708,-2459.000294,659,83912.35648298264
709,-554.602508,17,83928.41832900047
710,-724.685569,131,83992.77004408836
711,-555.209662,17,84010.83776307106
712,-751.612469,128,84082.15687990189
713,-528.134314,17,84100.22543501854
714,-970.806772,241,84218.32904911041
715,-623.941871,73,84273.98848605156
716,-568.20108,19,84293.1298649311
717,-4865.924181,771,84703.66879892349
718,-541.839741,9,84717.78359699249
719,-521.466552,7,84730.8707408905
720,-527.198303,13,84747.02620005608
721,-1113.787069,233,84874.82574105263
722,-533.006146,7,84887.94612193108
723,-612.369446,43,84919.19536709785
724,-540.806091,23,84949.48023509979
725,-517.645838,7,84962.6119389534
726,-564.572537,29,84986.90053796768
727,-1712.163447,429,85214.24171805382
728,-535.504185,9,85228.35886406898
729,-566.224066,23,85249.59037804604
730,-3613.583974,713,85574.37905192375
731,-722.695802,67,85612.55921602249
732,-840.343316,127,85686.00736904144
733,-6305.952249,1698,86556.13110804558
734,-539.340733,7,86569.2513821125
735,-1817.52474,320,86736.86869502068
736,-518.782578,3,86748.93337893486
737,-523.852984,6,86762.01069402695
738,-567.201113,29,86786.30901503563
739,-617.24919,59,86825.89898490906
740,-709.870344,71,86880.52520895004
741,-594.928738,29,86904.80881905556
742,-742.27384,89,86959.49297904968
743,-856.581697,265,87112.4464700222
744,-877.235675,193,87220.11160707474
745,-986.330841,153,87307.35900688171
746,-606.262959,35,87334.65546298027
747,-2797.370437,647,87673.65730810165
748,-554.651854,11,87697.8069961071
749,-537.625847,9,87711.93629097939
750,-548.694439,13,87728.07399702072
751,-1697.85199,435,87958.71333289146
752,-5002.459339,669,88317.1262819767
753,-554.476229,7,88330.21285295486
754,-563.804289,27,88353.45765399933
